STATE,STNAME,AREA,POPULATION,ABBREV,RAISED,MIN_INVESTMENT,FOR_SALE
1,Alabama,52423,4863300,AL,76489403,4915535,194175573
2,Alaska,656425,741894,AK,779656,260250,2726106
4,Arizona,114006,6931071,AZ,489083602,30293271,1068964438
5,Arkansas,53182,2988248,AR,51582724,2202194,150695114
6,California,163707,39250017,CA,47980233590,324457206,58394490895
8,Colorado,104100,5540545,CO,6919618575,113647939,7952337988
9,Connecticut,5544,3576452,CT,3794483525,12351577,2598105052
10,Delaware,1954,952065,DE,93019123,1963089,203583983
12,Florida,65758,20612439,FL,3773430656,72370995,9246365180
13,Georgia,59441,10310371,GA,1538205215,41285815,1969252094
15,Hawaii,10932,1428557,HI,92392695,1007491,174718991
16,Idaho,83574,1683140,ID,78768290,2628423,88822403
17,Illinois,57918,12801539,IL,7090782135,52626930,8390561090
18,Indiana,36420,6633053,IN,1621867446,10425525,1829272010
19,Iowa,56276,3134693,IA,254301403,20816614,414737171
20,Kansas,82282,2907289,KS,359974296,5301742,588814368
21,Kentucky,40411,4436974,KY,309329276,29408772,402778181
22,Louisiana,51843,4681666,LA,695591024,6996172,858258998
23,Maine,35387,1331479,ME,84041597,834167,107489952
24,Maryland,12407,6016447,MD,1908615052,39121128,2537745170
25,Massachusetts,10555,6811779,MA,12251592768,65696699,14333581298
26,Michigan,96810,9928300,MI,738422616,13563507,1143659419
27,Minnesota,86943,5519952,MN,1114697941,10259280,1732203074
28,Mississippi,48434,2988726,MS,15468431,1534953,45456231
29,Missouri,69709,6093000,MO,1067423560,23451692,1252521151
30,Montana,147046,1042520,MT,73794148,621445,410113926
31,Nebraska,77358,1907116,NE,158543654,4810159,605885744
32,Nevada,110567,2940058,NV,430631761,39710315,884302246
33,New Hampshire,9351,1334795,NH,240821285,4652000,395769944
34,New Jersey,8722,8944469,NJ,1988316886,62631756,2702910843
35,New Mexico,121593,2081015,NM,93454058,7776593,177279887
36,New York,54475,19745289,NY,21561715561,177851205,33181654510
37,North Carolina,53821,10146788,NC,2137485841,37099458,2933705817
38,North Dakota,70704,757952,ND,9775808,131001,44060750
39,Ohio,44828,11614373,OH,2791836647,202219415,3022873662
40,Oklahoma,69903,3923561,OK,7987111602,12991597,8311232259
41,Oregon,98386,4093465,OR,413856198,10507735,721111417
42,Pennsylvania,46058,12784227,PA,3013922950,42532933,4809502473
44,Rhode Island,1545,1056426,RI,45636557,1090510,118528328
45,South Carolina,32007,4961119,SC,490266969,16377091,409286694
46,South Dakota,77121,865454,SD,22308208,3474564,182888061
47,Tennessee,42146,6651194,TN,1017560934,8087191,1644709894
48,Texas,268601,27862596,TX,13261605477,471755178,17914291826
49,Utah,84904,3051217,UT,1582414090,80723173,1616908880
50,Vermont,9615,624594,VT,79935467,7265782,110458217
51,Virginia,42769,8411808,VA,4619821645,27799943,3174356940
53,Washington,71303,7288000,WA,3904946838,77872845,4100947591
54,West Virginia,24231,1831102,WV,10445454,373530,37810000
55,Wisconsin,65503,5778708,WI,562676343,5173889,611445695
56,Wyoming,97818,585501,WY,87206591,1101502,131033669
