state,money_raised,min_investment,offered_for_sale
AK,779656,260250,2726106
AL,76489403,4915535,194175573
AR,51582724,2202194,150695114
AZ,489083602,30293271,1068964438
CA,47980233590,324457206,58394490895
CO,6919618575,113647939,7952337988
CT,3794483525,12351577,2598105052
DC,1369264385,183955733,1570954368
DE,93019123,1963089,203583983
FL,3773430656,72370995,9246365180
GA,1538205215,41285815,1969252094
HI,92392695,1007491,174718991
IA,254301403,20816614,414737171
ID,78768290,2628423,88822403
IL,7090782135,52626930,8390561090
IN,1621867446,10425525,1829272010
J0,149999,100000,149999
K7,869998,0,2999998
KS,359974296,5301742,588814368
KY,309329276,29408772,402778181
LA,695591024,6996172,858258998
MA,12251592768,65696699,14333581298
MD,1908615052,39121128,2537745170
ME,84041597,834167,107489952
MI,738422616,13563507,1143659419
MN,1114697941,10259280,1732203074
MO,1067423560,23451692,1252521151
MS,15468431,1534953,45456231
MT,73794148,621445,410113926
NC,2137485841,37099458,2933705817
ND,9775808,131001,44060750
NE,158543654,4810159,605885744
NH,240821285,4652000,395769944
NJ,1988316886,62631756,2702910843
NM,93454058,7776593,177279887
NV,430631761,39710315,884302246
NY,21561715561,177851205,33181654510
OH,2791836647,202219415,3022873662
OK,7987111602,12991597,8311232259
OR,413856198,10507735,721111417
PA,3013922950,42532933,4809502473
PR,22830000,765001,119563165
RI,45636557,1090510,118528328
SC,490266969,16377091,409286694
SD,22308208,3474564,182888061
TN,1017560934,8087191,1644709894
TX,13261605477,471755178,17914291826
UT,1582414090,80723173,1616908880
VA,4619821645,27799943,3174356940
VT,79935467,7265782,110458217
WA,3904946838,77872845,4100947591
WI,562676343,5173889,611445695
WV,10445454,373530,37810000
WY,87206591,1101502,131033669
